"","Account.length","International.plan","Voice.mail.plan","Number.vmail.messages","Total.day.minutes","Total.day.calls","Total.day.charge","Total.eve.minutes","Total.eve.calls","Total.eve.charge","Total.night.minutes","Total.night.calls","Total.night.charge","Total.intl.minutes","Total.intl.calls","Total.intl.charge","Customer.service.calls","Churn"
"1",128,0,1,25,265.1,110,45.07,197.4,100.174979887369,16.78,244.7,91,11.01,10,3,2.7,1,"0"
"2",107,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,"0"
"3",137,0,0,0,243.4,114,41.38,121.2,110,10.3,201.866098254162,104,7.32,12.2,5,3.29,0,"0"
"4",84,1,0,0,299.4,71,50.9,200.355623332063,88,17.0312157809984,196.9,89,8.86,6.6,7,1.78,2,"0"
"5",75,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,100.152015355086,8.41,10.1,3,2.73,3,"0"
"6",118,1,0,0,223.4,104,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,"0"
"7",121,0,1,24,218.2,88,37.09,200.355623332063,108,17.0312157809984,212.6,118,9.57,7.5,7,2.03,3,"0"
"8",147,1,0,0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,"0"
"9",141,1,1,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,"0"
"10",74,0,0,0,211.2,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,"0"
"11",168,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,"0"
"12",83,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,100.152015355086,8.65,12.3,5,3.32,3,"0"
"13",62,0,0,0,120.7,70,20.52,175.4,76,26.11,194.3,99,9.14,13.1,6,3.54,2,"0"
"14",85,0,1,27,196.4,139,33.39,280.9,100.174979887369,23.88,89.3,75,4.02,13.8,4,3.73,1,"0"
"15",93,0,0,0,179.567454268293,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,"0"
"16",76,0,1,33,189.7,66,32.25,212.8,65,13.04,165.7,108,7.46,10,5,2.7,1,"0"
"17",73,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1,"0"
"18",147,0,0,0,155.1,117,26.37,162.6,93,20.37,208.8,133,9.4,10.6,4,2.86,0,"0"
"19",77,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,1.56590370955012,"1"
"20",130,0,0,0,183,112,31.11,72.9,100.174979887369,6.2,181.8,78,8.18,9.5,4.480805777271,2.57,0,"0"
"21",132,0,0,8.07234042553191,81.1,86,13.79,245.2,72,20.84,237,100.152015355086,10.67,10.3,2,2.78,0,"0"
"22",174,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,"0"
"23",57,0,1,39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,"0"
"24",54,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,10.2141082164329,4,2.03,3,"0"
"25",20,0,0,0,205.2,109,32.3,258.2,84,14.08,181.5,102,8.17,6.3,6,1.7,0,"0"
"26",142,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,"0"
"27",75,0,0,0,226.1,105,38.44,201.5,107,15.56,246.2,98,11.08,10.3,5,2.78,1,"0"
"28",172,0,0,0,212,121,36.04,200.355623332063,115,17.0312157809984,293.3,78,13.2,12.6,10,3.4,3,"0"
"29",12,0,0,0,249.6,118,42.43,252.4,119,21.45,201.866098254162,90,12.61,11.8,3,3.19,1,"1"
"30",57,0,1,25,176.8,94,30.5681755725191,195,75,16.58,213.5,116,9.03963888888889,8.3,4,2.24,0,"0"
"31",72,0,1,37,220,80,37.4,211.6,102,18.47,152.8,71,6.88,14.7,6,3.97,3,"0"
"32",100.896779200621,0,0,8.07234042553191,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,"0"
"33",136,1,1,33,203.9,106,34.66,187.6,87,15.95,101.7,107,4.58,10.5,6,2.84,3,"0"
"34",149,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,99,8.47,11.1,9,3,1,"0"
"35",98,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,"0"
"36",135,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,4.480805777271,3.94,0,"1"
"37",34,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,2,"0"
"38",160,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,"0"
"39",64,0,0,0,154,67,26.18,225.8,118,19.19,154.2,86,11.94,10.2141082164329,3,2.77319131832797,1,"0"
"40",59,0,1,28,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,2,"0"
"41",142,0,0,0,187,133,31.79,134.6,100.174979887369,11.44,242.2,127,10.9,7.4,5,2,2,"0"
"42",97,0,1,24,133.2,135,22.64,217.2,58,17.0312157809984,201.866098254162,79,9.03963888888889,11,3,2.97,1,"0"
"43",52,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,"0"
"44",60,0,0,0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1,"0"
"45",96,0,0,0,160.2,100.082348455966,27.23,267.5,67,22.74,228.5,100.152015355086,10.28,9.3,5,2.51,2,"0"
"46",100,0,0,0,151,83,25.67,219.7,100.174979887369,18.67,203.9,127,9.18,9.7,3,2.62,1.56590370955012,"1"
"47",81,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2141082164329,3,2.75,1,"0"
"48",141,0,0,0,126.9,98,21.57,180,62,15.3,201.866098254162,128,6.34,8,2,2.16,1,"0"
"49",121,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,"1"
"50",125,0,0,0,229.3,84,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,1,"0"
"51",174,0,0,0,192.1,97,32.66,169.9,94,14.44,263.3,54,7.5,11.4,4,3.08,1,"0"
"52",116,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,"0"
"53",149,0,1,28,180.7,92,30.72,200.355623332063,64,15.96,265.5,53,11.95,10.2141082164329,3,3.4,3,"0"
"54",38,0,0,0,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,2,"0"
"55",40,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,1.56590370955012,"0"
"56",43,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,"0"
"57",113,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,"0"
"58",126,0,0,0,211.6,70,35.97,91.2,80,18.44,153.5,60,6.91,7.8,4.480805777271,2.77319131832797,1,"0"
"59",150,0,0,0,178.9,89,30.41,169.1,100.174979887369,14.37,148.6,100,6.69,13.8,3,3.73,1.56590370955012,"1"
"60",138,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,"0"
"61",162,0,1,8.07234042553191,224.9,97,38.23,200.355623332063,94,16,254.6,61,11.46,10.2141082164329,2,2.77319131832797,0,"0"
"62",147,0,0,0,248.6,83,42.26,148.9,129,12.66,172.5,109,7.76,8,4,2.16,3,"0"
"63",89,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,"0"
"64",50,0,0,0,157.1,90,26.71,223.3,74,18.98,181.4,111,8.16,6.1,2,1.65,1,"0"
"65",82,0,0,0,300.3,109,51.05,181,83,15.39,270.1,120,12.15,11.7,4,2.77319131832797,0,"1"
"66",144,0,0,0,61.6,117,10.47,77.1,85,6.55,173,102,7.79,8.2,7,2.21,1.56590370955012,"1"
"67",70,0,0,0,170.2,125,28.93,155.2,102,13.19,228.6,76,10.29,10.2141082164329,2,4.05,1,"0"
"68",144,0,0,0,201.1,99,34.19,200.355623332063,74,25.8,201.866098254162,119,10.08,13.2,2,3.56,1,"0"
"69",116,1,0,8.07234042553191,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,"0"
"70",55,0,1,25,165.6,100.082348455966,28.15,136.1,95,11.57,175.7,90,7.91,11,2,2.97,3,"0"
"71",70,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,"1"
"72",106,0,0,0,210.6,96,35.8,249.2,85,21.18,201.866098254162,88,8.61,12.4,1,3.35,2,"1"
"73",94,0,0,0,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16,1.56590370955012,"1"
"74",111,0,0,0,214.3,118,36.43,208.5,76,17.0312157809984,182.4,98,8.21,12,2,3.24,1,"0"
"75",141,0,1,35,154.1,104,26.2,123.4,84,17.08,202.1,57,9.09,10.9,9,2.94,2,"0"
"76",128,0,0,0,237.9,125,40.44,175.1,93,21.05,208.9,68,9.4,13.9,4,3.75,1,"1"
"77",82,0,0,0,143.9,61,30.5681755725191,194.9,100.174979887369,16.57,109.6,94,4.93,11.1,2,3,1,"0"
"78",80,0,0,0,124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,1,"0"
"79",78,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,"0"
"80",90,0,0,0,179.1,101,30.45,190.6,100.174979887369,17.0312157809984,127.7,91,5.75,10.6,7,2.86,3,"0"
"81",104,0,0,0,278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,1,"0"
"82",99,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,9.03963888888889,8.7,3,2.35,1.56590370955012,"0"
"83",100.896779200621,0,0,0,212.1,131,36.06,209.4,104,17.8,201.866098254162,96,7.52,5.3,5,1.43,1,"1"
"84",98,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,1.56590370955012,"0"
"85",135,0,0,0,151.7,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84,0,"0"
"86",122,0,0,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,"0"
"87",95,0,0,0,238.1,65,40.48,187.2,98,15.91,201.866098254162,115,8.55,11.8,4,3.19,1.56590370955012,"0"
"88",93,0,1,21,117.9,131,20.04,164.5,115,13.98,217,86,9.03963888888889,9.8,3,2.65,1,"0"
"89",157,0,0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,"0"
"90",120,0,0,0,165,100.082348455966,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,"0"
"91",103,0,0,0,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,"0"
"92",98,0,0,0,161,117,27.37,190.9,113,16.23,227.7,113,9.03963888888889,12.1,4,3.27,1.56590370955012,"0"
"93",125,0,0,0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1,"0"
"94",36,1,1,42,126.9,89,33.46,254.9,122,21.67,138.3,126,9.03963888888889,10.2141082164329,6,2.77319131832797,0,"1"
"95",64,0,0,0,162.6,83,27.64,152.3,109,12.95,201.866098254162,122,9.03963888888889,14.2,3,3.83,1,"0"
"96",74,0,0,0,282.5,114,48.03,219.9,100.174979887369,18.69,170,115,7.65,9.4,4,2.54,1,"1"
"97",112,0,1,36,113.7,117,19.33,157.5,82,11.77,177.6,118,9.03963888888889,10,3,2.7,2,"0"
"98",46,0,0,0,275.2,92,35.73,227.3,77,19.32,200.1,116,10.22,13.1,5,3.54,1,"0"
"99",41,0,1,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,2.77319131832797,0,"0"
"100",121,0,0,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,"0"
"101",193,0,0,0,170.9,100.082348455966,29.05,116.6,95,11.25,112.9,89,9.03963888888889,11.6,3,3.13,1,"0"
"102",130,0,0,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,"0"
"103",85,0,0,0,201.4,52,34.24,229.4,105,19.5,252.5,106,11.36,12,3,3.24,1.56590370955012,"0"
"104",162,0,0,0,70.7,108,12.02,157.5,87,13.39,154.8,82,9.03963888888889,9.1,3,2.46,1.56590370955012,"0"
"105",61,0,1,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,1.56590370955012,"1"
"106",92,0,0,0,91.7,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.32,2,"0"
"107",131,0,1,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,"0"
"108",90,0,0,8.07234042553191,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,1.56590370955012,"0"
"109",50,0,0,0,179.567454268293,115,39.27,230.4,140,19.58,261.4,120,9.63,9.5,3,2.57,1,"0"
"110",82,0,0,0,200.3,96,34.05,201.2,102,17.0312157809984,206.1,60,9.27,7.1,1,1.92,1.56590370955012,"0"
"111",163,0,0,0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,"0"
