State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
KS,128.0,415.0,No,Yes,25.0,265.1,110.0,45.07,197.4,,16.78,244.7,91.0,11.01,10.0,3.0,2.7,1.0,False
OH,107.0,,No,Yes,26.0,161.6,123.0,27.47,195.5,103.0,16.62,254.4,103.0,11.45,13.7,3.0,3.7,1.0,False
NJ,137.0,415.0,No,No,0.0,243.4,114.0,41.38,121.2,110.0,10.3,,104.0,7.32,12.2,5.0,3.29,0.0,False
OH,84.0,408.0,Yes,No,0.0,299.4,71.0,50.9,,88.0,5.26,196.9,89.0,8.86,6.6,7.0,1.78,2.0,False
OK,75.0,415.0,Yes,No,0.0,166.7,113.0,28.34,148.3,122.0,12.61,186.9,,8.41,10.1,3.0,2.73,3.0,False
AL,118.0,,Yes,No,0.0,223.4,104.0,37.98,220.6,101.0,18.75,203.9,118.0,9.18,6.3,6.0,1.7,0.0,False
MA,121.0,510.0,No,Yes,24.0,218.2,88.0,37.09,348.5,108.0,,212.6,118.0,9.57,7.5,7.0,2.03,3.0,False
MO,147.0,415.0,Yes,No,0.0,157.0,79.0,26.69,103.1,94.0,8.76,211.8,96.0,9.53,7.1,6.0,1.92,0.0,False
WV,141.0,415.0,Yes,Yes,37.0,258.6,84.0,43.96,222.0,111.0,18.87,326.4,97.0,14.69,11.2,5.0,3.02,0.0,False
RI,74.0,415.0,No,No,0.0,211.2,127.0,31.91,163.4,148.0,13.89,196.0,94.0,8.82,9.1,5.0,2.46,0.0,False
IA,168.0,408.0,No,No,0.0,128.8,96.0,21.9,104.9,71.0,8.92,141.1,128.0,6.35,11.2,2.0,3.02,1.0,False
MT,83.0,510.0,No,No,0.0,156.6,88.0,26.62,247.6,75.0,21.05,192.3,,8.65,12.3,5.0,3.32,3.0,False
IA,62.0,415.0,No,No,0.0,120.7,70.0,20.52,175.4,76.0,26.11,194.3,99.0,9.14,13.1,6.0,3.54,2.0,False
ID,85.0,408.0,No,Yes,27.0,196.4,139.0,33.39,280.9,,23.88,89.3,75.0,4.02,13.8,4.0,3.73,1.0,False
VT,93.0,415.0,No,No,0.0,,114.0,32.42,218.2,111.0,18.55,129.6,121.0,5.83,8.1,3.0,2.19,3.0,False
VA,76.0,510.0,No,Yes,33.0,189.7,66.0,32.25,212.8,65.0,13.04,165.7,108.0,7.46,10.0,5.0,2.7,1.0,False
TX,73.0,415.0,No,No,0.0,224.4,90.0,38.15,159.5,88.0,13.56,192.8,74.0,8.68,13.0,2.0,3.51,1.0,False
FL,147.0,415.0,No,No,0.0,155.1,117.0,26.37,162.6,93.0,20.37,208.8,133.0,9.4,10.6,4.0,2.86,0.0,False
CO,77.0,408.0,No,No,0.0,62.4,89.0,10.61,169.9,121.0,14.44,209.6,64.0,9.43,5.7,6.0,1.54,5.0,True
AZ,130.0,415.0,No,No,0.0,183.0,112.0,31.11,72.9,,6.2,181.8,78.0,8.18,9.5,19.0,2.57,0.0,False
VA,132.0,510.0,No,No,,81.1,86.0,13.79,245.2,72.0,20.84,237.0,,10.67,10.3,2.0,2.78,0.0,False
NE,174.0,415.0,No,No,0.0,124.3,76.0,21.13,277.1,112.0,23.55,250.7,115.0,11.28,15.5,5.0,4.19,3.0,False
WY,57.0,408.0,No,Yes,39.0,213.0,115.0,36.21,191.1,112.0,16.24,182.7,115.0,8.22,9.5,3.0,2.57,0.0,False
MT,54.0,408.0,No,No,0.0,134.3,73.0,22.83,155.5,100.0,13.22,102.1,68.0,4.59,,4.0,2.03,3.0,False
MO,20.0,415.0,No,No,0.0,205.2,109.0,32.3,258.2,84.0,14.08,181.5,102.0,8.17,6.3,6.0,1.7,0.0,False
