"Account.length","International.plan","Voice.mail.plan","Number.vmail.messages","Total.day.minutes","Total.day.calls","Total.eve.minutes","Total.eve.calls","Total.night.minutes","Total.night.calls","Total.intl.minutes","Total.intl.calls","Customer.service.calls","Churn"
128,0,1,25,265.1,110,197.4,100,244.7,91,10,3,1,"0"
107,0,1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,"0"
137,0,0,0,243.4,114,121.2,110,201.866098254162,104,12.2,5,0,"0"
84,1,0,0,299.4,71,200.355623332063,88,196.9,89,6.6,7,2,"0"
75,1,0,0,166.7,113,148.3,122,186.9,100,10.1,3,3,"0"
118,1,0,0,223.4,104,220.6,101,203.9,118,6.3,6,0,"0"
121,0,1,24,218.2,88,200.355623332063,108,212.6,118,7.5,7,3,"0"
147,1,0,0,157,79,103.1,94,211.8,96,7.1,6,0,"0"
141,1,1,37,258.6,84,222,111,326.4,97,11.2,5,0,"0"
74,0,0,0,211.2,127,163.4,148,196,94,9.1,5,0,"0"
168,0,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,"0"
83,0,0,0,156.6,88,247.6,75,192.3,100,12.3,5,3,"0"
62,0,0,0,120.7,70,175.4,76,194.3,99,13.1,6,2,"0"
85,0,1,27,196.4,139,280.9,100,89.3,75,13.8,4,1,"0"
93,0,0,0,179.567454268293,114,218.2,111,129.6,121,8.1,3,3,"0"
76,0,1,33,189.7,66,212.8,65,165.7,108,10,5,1,"0"
73,0,0,0,224.4,90,159.5,88,192.8,74,13,2,1,"0"
147,0,0,0,155.1,117,162.6,93,208.8,133,10.6,4,0,"0"
77,0,0,0,62.4,89,169.9,121,209.6,64,5.7,6,2,"1"
130,0,0,0,183,112,72.9,100,181.8,78,9.5,4,0,"0"
132,0,0,8,81.1,86,245.2,72,237,100,10.3,2,0,"0"
174,0,0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,"0"
57,0,1,39,213,115,191.1,112,182.7,115,9.5,3,0,"0"
54,0,0,0,134.3,73,155.5,100,102.1,68,10.2141082164329,4,3,"0"
20,0,0,0,205.2,109,258.2,84,181.5,102,6.3,6,0,"0"
142,0,0,0,84.8,95,136.7,63,250.5,148,14.2,6,2,"0"
